"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","74","46986  >  50051 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=3835590110 TSecr=0 WS=128"
"2","0.000010","127.0.0.1","127.0.0.1","TCP","74","50051  >  46986 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=3835590110 TSecr=3835590110 WS=128"
"3","0.000017","127.0.0.1","127.0.0.1","TCP","66","46986  >  50051 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=3835590110 TSecr=3835590110"
"4","0.001098","127.0.0.1","127.0.0.1","TLSv1.3","362","Client Hello"
"5","0.001153","127.0.0.1","127.0.0.1","TCP","66","50051  >  46986 [ACK] Seq=1 Ack=297 Win=65280 Len=0 TSval=3835590111 TSecr=3835590111"
"6","0.002052","127.0.0.1","127.0.0.1","TLSv1.3","300","Server Hello, Change Cipher Spec, Encrypted Extensions, Finished"
"7","0.002129","127.0.0.1","127.0.0.1","TCP","66","46986  >  50051 [ACK] Seq=297 Ack=235 Win=65408 Len=0 TSval=3835590112 TSecr=3835590112"
"8","0.002731","127.0.0.1","127.0.0.1","TLSv1.3","130","Change Cipher Spec, Finished"
"9","0.002993","127.0.0.1","127.0.0.1","TLSv1.3","305","New Session Ticket"
"10","0.002994","127.0.0.1","127.0.0.1","HTTP2","112","Magic"
"11","0.003078","127.0.0.1","127.0.0.1","HTTP2","97","SETTINGS[0]"
"12","0.003380","127.0.0.1","127.0.0.1","HTTP2","103","SETTINGS[0]"
"13","0.003687","127.0.0.1","127.0.0.1","HTTP2","97","SETTINGS[0]"
"14","0.003789","127.0.0.1","127.0.0.1","TCP","66","46986  >  50051 [ACK] Seq=438 Ack=542 Win=65536 Len=0 TSval=3835590114 TSecr=3835590113"
"15","0.004452","127.0.0.1","127.0.0.1","GRPC","294","SETTINGS[0], HEADERS[1]: POST /tr451_vomci_nbi_service.v1.VomciMessageNbi/GetData, DATA[1] (GRPC) (PROTOBUF)"
"16","0.004807","127.0.0.1","127.0.0.1","HTTP2","118","WINDOW_UPDATE[0], PING[0]"
"17","0.006534","127.0.0.1","127.0.0.1","HTTP2","105","PING[0]"
"18","0.046683","127.0.0.1","127.0.0.1","TCP","66","50051  >  46986 [ACK] Seq=594 Ack=705 Win=65536 Len=0 TSval=3835590157 TSecr=3835590116"
"19","0.352076","127.0.0.1","127.0.0.1","GRPCHTTP2","362","HEADERS[1]: 200 OK, DATA[1] (GRPC) (PROTOBUF), HEADERS[1]"
"20","0.352566","127.0.0.1","127.0.0.1","HTTP2","118","WINDOW_UPDATE[0], PING[0]"
"21","0.352648","127.0.0.1","127.0.0.1","TCP","66","50051  >  46986 [ACK] Seq=890 Ack=757 Win=65536 Len=0 TSval=3835590462 TSecr=3835590462"
"22","0.352869","127.0.0.1","127.0.0.1","HTTP2","105","PING[0]"
"23","0.394900","127.0.0.1","127.0.0.1","TCP","66","46986  >  50051 [ACK] Seq=757 Ack=929 Win=65536 Len=0 TSval=3835590505 TSecr=3835590463"
