###PSK Key tested : f4ce3dce93bbd4566ab194445f435d29f0e735291e863d8bb23746c5f324a279 

dieharder -a -f diehard_test
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                    diehard_test|  1.94e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.86390718|  PASSED
      diehard_operm5|   0|   1000000|     100|0.26484507|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.27976494|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.55395560|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.20827834|  PASSED
        diehard_opso|   0|   2097152|     100|0.68764843|  PASSED
        diehard_oqso|   0|   2097152|     100|0.50490736|  PASSED
         diehard_dna|   0|   2097152|     100|0.06708452|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.78396469|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.70999415|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.91059716|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.96109826|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.72299691|  PASSED
     diehard_squeeze|   0|    100000|     100|0.77050042|  PASSED
        diehard_sums|   0|       100|     100|0.15819555|  PASSED
        diehard_runs|   0|    100000|     100|0.73677705|  PASSED
        diehard_runs|   0|    100000|     100|0.68211465|  PASSED
       diehard_craps|   0|    200000|     100|0.39107864|  PASSED
       diehard_craps|   0|    200000|     100|0.20607204|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.89058434|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.06316841|  PASSED
         sts_monobit|   1|    100000|     100|0.98264279|  PASSED
            sts_runs|   2|    100000|     100|0.67442440|  PASSED
          sts_serial|   1|    100000|     100|0.91275562|  PASSED
          sts_serial|   2|    100000|     100|0.80606338|  PASSED
          sts_serial|   3|    100000|     100|0.98189918|  PASSED
          sts_serial|   3|    100000|     100|0.83623820|  PASSED
          sts_serial|   4|    100000|     100|0.74279593|  PASSED
          sts_serial|   4|    100000|     100|0.01973272|  PASSED
          sts_serial|   5|    100000|     100|0.30031077|  PASSED
          sts_serial|   5|    100000|     100|0.41974560|  PASSED
          sts_serial|   6|    100000|     100|0.72029909|  PASSED
          sts_serial|   6|    100000|     100|0.54080174|  PASSED
          sts_serial|   7|    100000|     100|0.94151416|  PASSED
          sts_serial|   7|    100000|     100|0.91583689|  PASSED
          sts_serial|   8|    100000|     100|0.51852258|  PASSED
          sts_serial|   8|    100000|     100|0.34705703|  PASSED
          sts_serial|   9|    100000|     100|0.49983413|  PASSED
          sts_serial|   9|    100000|     100|0.54753744|  PASSED
          sts_serial|  10|    100000|     100|0.23645560|  PASSED
          sts_serial|  10|    100000|     100|0.64119342|  PASSED
          sts_serial|  11|    100000|     100|0.53360182|  PASSED
          sts_serial|  11|    100000|     100|0.33195779|  PASSED
          sts_serial|  12|    100000|     100|0.80270243|  PASSED
          sts_serial|  12|    100000|     100|0.66045465|  PASSED
          sts_serial|  13|    100000|     100|0.63760678|  PASSED
          sts_serial|  13|    100000|     100|0.93025076|  PASSED
          sts_serial|  14|    100000|     100|0.90873473|  PASSED
          sts_serial|  14|    100000|     100|0.93419917|  PASSED
          sts_serial|  15|    100000|     100|0.53470814|  PASSED
          sts_serial|  15|    100000|     100|0.73065205|  PASSED
          sts_serial|  16|    100000|     100|0.55036439|  PASSED
          sts_serial|  16|    100000|     100|0.88711294|  PASSED
         rgb_bitdist|   1|    100000|     100|0.19778487|  PASSED
         rgb_bitdist|   2|    100000|     100|0.74862121|  PASSED
         rgb_bitdist|   3|    100000|     100|0.95412874|  PASSED
         rgb_bitdist|   4|    100000|     100|0.09025782|  PASSED
         rgb_bitdist|   5|    100000|     100|0.94502849|  PASSED
